"VMHost","DVSwitch","DeviceName","MAC"
"jaxf-vs01.fanatics.corp","dvSwitch-JAXF_Trunk","vmnic5","00:0e:1e:32:1f:2c"
"jaxf-vs01.fanatics.corp","dvSwitch-JAXF_Trunk","vmnic4","00:0e:1e:32:1f:28"
"jaxf-vs02.fanatics.corp","dvSwitch-JAXF_Trunk","vmnic4","00:0e:1e:0e:0d:c0"
"jaxf-vs02.fanatics.corp","dvSwitch-JAXF_Trunk","vmnic5","00:0e:1e:0e:0d:c4"
"jax-ntnx01a.ff.p10","dvSwitch-JAX CNA Trunk","vmnic1","0c:c4:7a:1e:80:d5"
"jax-ntnx01a.ff.p10","dvSwitch-JAX CNA Trunk","vmnic0","0c:c4:7a:1e:80:d4"
"jax-ntnx01b.ff.p10","dvSwitch-JAX CNA Trunk","vmnic0","0c:c4:7a:1e:7e:ee"
"jax-ntnx01b.ff.p10","dvSwitch-JAX CNA Trunk","vmnic1","0c:c4:7a:1e:7e:ef"
"jax-ntnx01c.ff.p10","dvSwitch-JAX CNA Trunk","vmnic1","0c:c4:7a:1e:84:71"
"jax-ntnx01c.ff.p10","dvSwitch-JAX CNA Trunk","vmnic0","0c:c4:7a:1e:84:70"
"jax-ntnx01d.ff.p10","dvSwitch-JAX CNA Trunk","vmnic0","0c:c4:7a:1e:7b:38"
"jax-ntnx01d.ff.p10","dvSwitch-JAX CNA Trunk","vmnic1","0c:c4:7a:1e:7b:39"
"jax-ntnx02a.ff.p10","dvSwitch-JAX CNA Trunk","vmnic1","0c:c4:7a:1e:7d:25"
"jax-ntnx02a.ff.p10","dvSwitch-JAX CNA Trunk","vmnic0","0c:c4:7a:1e:7d:24"
"jax-ntnx02b.ff.p10","dvSwitch-JAX CNA Trunk","vmnic1","0c:c4:7a:1e:7d:79"
"jax-ntnx02b.ff.p10","dvSwitch-JAX CNA Trunk","vmnic0","0c:c4:7a:1e:7d:78"
"jax-ntnx02c.ff.p10","dvSwitch-JAX CNA Trunk","vmnic1","0c:c4:7a:1e:7d:2f"
"jax-ntnx02c.ff.p10","dvSwitch-JAX CNA Trunk","vmnic0","0c:c4:7a:1e:7d:2e"
"jax-ntnx02d.ff.p10","dvSwitch-JAX CNA Trunk","vmnic1","0c:c4:7a:1e:7d:0d"
"jax-ntnx02d.ff.p10","dvSwitch-JAX CNA Trunk","vmnic0","0c:c4:7a:1e:7d:0c"
"jax-vs01.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:06:ee:d4"
"jax-vs01.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:06:f4:f0"
"jax-vs01.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:06:f4:f4"
"jax-vs01.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:06:ee:d0"
"jax-vs02.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:06:f4:50"
"jax-vs02.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:06:ea:50"
"jax-vs02.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:06:f4:54"
"jax-vs02.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:06:ea:54"
"jax-vs03.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:06:f0:3c"
"jax-vs03.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:06:f0:38"
"jax-vs03.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:06:f0:94"
"jax-vs03.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:06:f0:90"
"jax-vs04.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:0e:0e:c0"
"jax-vs04.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:0e:0e:c4"
"jax-vs04.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:0c:dd:14"
"jax-vs04.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:0c:dd:10"
"jax-vs05.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:06:f3:bc"
"jax-vs05.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:06:f3:b8"
"jax-vs05.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:0e:0e:28"
"jax-vs05.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:0e:0e:2c"
"jax-vs06.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:0f:4f:d0"
"jax-vs06.ff.p10","dvSwitch-JAX CNA Trunk","vmnic5","00:0e:1e:0e:ac:74"
"jax-vs06.ff.p10","dvSwitch-JAX CNA Trunk","vmnic4","00:0e:1e:0e:ac:70"
"jax-vs06.ff.p10","dvSwitch-JAX CNA Trunk","vmnic7","00:0e:1e:0f:4f:d4"
"jax-vs07.ff.p10","dvSwitch-JAX CNA Trunk","vmnic6","00:0e:1e:0e:ae:e8"
